date,url,username,content,link0,link1,link2,link3,link4,url0,url1,url2,url3,url4,Source,reply_link0,reply_link1,reply_link2,reply_link3,reply_link4
2024-12-23 21:03:31+00:00,https://x.com/tang_talks/status/1871300626174685420,tang_talks,"My son, Jerry, had an unique opportunity to play Tiny Tim in the Sonder Theatre Company’s “A Christmas Carol” show.  It is the best Christmas gift that I’ve ever received.  #ProudDad https://t.co/IZedcjIedw",,,,,,https://pbs.twimg.com/media/Gfgx7rxb0AAl2g1.jpg,https://pbs.twimg.com/media/Gfgx7rxbAAAinhx.jpg,,,,Twitter Web App,,,,,
2024-12-22 06:06:01+00:00,https://x.com/tang_talks/status/1870712375596462125,tang_talks,"My Stanford roommate and I were discussing whether we needed liquid immersion cooling (which immerses extremely hot electronic parts in a thermally, but not electrically, conductive liquid to cool them) back in 2003 - which I thought was unnecessary at the time because I believed that efficient computing would mitigate the need for such a complicated scheme.  I finally saw such a computer in real life in 2024.  

The liquid is actually a kind of special oil that feels like a baby oil.",,,,,,https://pbs.twimg.com/media/GfYa-fda4AAjMmv.jpg,,,,,Twitter Web App,,,,,
2024-12-13 17:15:00+00:00,https://x.com/tang_talks/status/1867619241249194387,tang_talks,Congratulations to @SashaReneePerez for winning the California State Senate race and representing our community in Sacramento 🎉  I still could not believe that our state senator is 10 years younger than me 😂 https://t.co/v7gXp1C7db,,,,,,https://pbs.twimg.com/media/GeqcBQ5a8AAfWJp.jpg,,,,,Twitter Web App,,,,,
2024-12-12 05:25:10+00:00,https://x.com/tang_talks/status/1867078218538422373,tang_talks,"Simone Ravaoli, Ildiko Mazar, and @codenamedmitri presented on ""VC EDU Task Force Updates"" at W3C CCG.  VC EDU is a popular task force under CCG that meets every Monday to work on education-related applications of verifiable credentials, such as verifiable credentials revocation, European digital micro-credentials, LERs (Learning and Employment Records), and Open Badges 3.0.  You can watch the recording of the presentation and discussion here (start at 4 min 10 sec mark): https://t.co/9ZTKA04vWa",https://meet.w3c-ccg.org/archives/w3c-ccg-weekly-2024-12-03.mp4,,,,,https://pbs.twimg.com/media/GekxvQFaEAE_017.jpg,https://pbs.twimg.com/media/GekxvQGbkAAJNz5.jpg,https://pbs.twimg.com/media/GekxvQEaEAAtct6.jpg,https://pbs.twimg.com/media/GekxvQDaEAA9JHU.jpg,,Twitter Web App,,,,,
2024-12-10 05:54:39+00:00,https://x.com/tang_talks/status/1866360863659356179,tang_talks,"Heather Flanagan presented on ""Federated Identity Working Group Updates"" at W3C CCG.  She first started with the original story of Federated Credential Manager API #FedCM.  She then talked about Digital Credentials API and how it differs from Federated Credential Management API.  While both Digital Credentials API and FedCM can help advance self-sovereign identity, FedCM started with the browsers, and Digital Credentials API deals with digital wallets, and they can have different privacy properties.  You can view Heather’s presentation deck here:  https://t.co/qTx681U2C1  And you can watch the recording of the presentation and discussion here (start at 11 min 10 sec mark): https://t.co/muDgRl9b2Q",https://docs.google.com/presentation/d/1YTc14uyzRJRTg3AVc5FvaVVFz00t1zozscGRmQolDK0/edit?usp=sharing,https://meet.w3c-ccg.org/archives/w3c-ccg-weekly-2024-11-26.mp4,,,,https://pbs.twimg.com/media/GealT9ha0AAptNC.jpg,https://pbs.twimg.com/media/GealT9ibcAASlM2.jpg,,,,Twitter Web App,,,,,
2024-12-04 05:14:35+00:00,https://x.com/tang_talks/status/1864176453820272775,tang_talks,"We had our quarterly W3C CCG work item updates and open discussion.  We went through the latest developments in VC-API, VC 2.0 Test Suite, Quantum Safe Data Integrity Signature Suite, VC Education, VC Traceability, VC Render Method, VC Barcodes, Verifiable Issuers and Verifiers, and DID Linked Resources.  You can watch the recording of the presentation and discussion here (start at 14 min 50 sec mark): https://t.co/v0Kb5EuNtB",https://meet.w3c-ccg.org/archives/w3c-ccg-weekly-2024-11-19.mp4,,,,,,,,,,Twitter Web App,,,,,
2024-11-23 02:30:00+00:00,https://x.com/tang_talks/status/1860148767753674824,tang_talks,"We are searching for experienced software developers, data engineers, and product managers to help us build industry-leading identity solutions.  If you are interested in solving the problem of “who we are” or playing with cutting-edge technology, please join us here:  https://t.co/4U5dPRTTyp",https://www.spokeo.com/careers/jobs,,,,,,,,,,Twitter Web Client,,,,,
2024-11-19 22:35:00+00:00,https://x.com/tang_talks/status/1859002462935331106,tang_talks,"Zoë Hitzig and Steven Adler from @OpenAI presented on ""Personhood Credentials: A Privacy-Preserving Credential to Demonstrate Who's Real Online, Amid Artificial Intelligence"" at W3C CCG.  It’s getting harder to tell if someone on the Internet is real or not, and personhood credentials #PHC leans into two things that AI cannot do to solve this problem:  (1) physical, real-world components, and (2) cryptography.  You can read the paper here:  https://t.co/N89pTkdcfl  And you can watch the recording of the presentation and discussion here (start at 9 min 15 sec mark): https://t.co/o3DCBao2XF",https://arxiv.org/pdf/2408.07892,https://meet.w3c-ccg.org/archives/w3c-ccg-weekly-2024-11-05.mp4,,,,https://pbs.twimg.com/media/Gcups2BbcAQdDcG.jpg,https://pbs.twimg.com/media/Gcups2CbcAAhEvR.jpg,https://pbs.twimg.com/media/Gcups2BbcAEC8GH.jpg,,,Twitter Web Client,,,,,
2024-11-19 06:53:52+00:00,https://x.com/tang_talks/status/1858765620059476014,tang_talks,"Excited to share this whitepaper, Data Accuracy in the Age of AI. As AI transforms our digital world, ensuring data accuracy has become essential. Drawing on my experiences as Spokeo’s CEO, I’ve highlighted key challenges in managing data and the strategies that can be used to address them.
https://t.co/NpCQjkJYU7",https://www.cloudhire.ai/data-accuracy-in-the-age-of-ai-insights-from-spokeos-journey/,,,,,,,,,,Twitter Web App,,,,,
2024-11-13 23:00:01+00:00,https://x.com/tang_talks/status/1856834433002983902,tang_talks,Proud to sponsor the Internet Identity Workshop #IIW 39 - my favorite conference 😍 https://t.co/oA9KF7IkDE,,,,,,https://pbs.twimg.com/media/GcN8Z04asAARaJm.jpg,https://pbs.twimg.com/media/GcN8Z1ZasAE4DsL.jpg,,,,Twitter Web App,,,,,
